k;silhouette;inercia
2;0.277279601735221;5084.96993740761
3;0.22882544069332109;4355.67140599368
4;0.23191097375116868;3774.5663791493125
5;0.2334602506897811;3340.9871799275475
6;0.18957741760995261;3144.161952214186
7;0.16553575144695165;2981.7726742108484
8;0.14989783520944774;2840.349770371112
