co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio;percentil_risco_relativo;faixa_risco_relativo;meta_2025_pct;alfabetizacao_2024_pct;gap_previsto_meta_pp;situacao_meta
2205003;107;0.31431972140054953;0.31431972140054953;0.31431972140054953;0.0;0.11214953271028037;12;0.11214953271028037;22;3.0;0.541;0.401;237.76;0.5;58.19;56.94;0.7745098039215687;1.0;0.6372549019607843;7837047.55;4330303.41;12167350.96;75.93;73.67;88.78504672897196;68.56802785994505;0.0;PI;Itainópolis;Itainópolis - PI;0.20454545454545456;Baixo;75.93;73.67;-7.361972140054959;Risco elevado de não atingir
3161106;734;0.5001943352802221;0.5123675065944635;0.5123675065944635;0.5095367847411444;0.3446866485013624;130;0.1771117166212534;31;3.0;0.638;0.542;325.23;0.55;53.88;37.88;0.5519287833827893;1.0;0.9614243323442137;37819565.87;2362868.98;40182434.85;57.15;58.24;65.53133514986375;49.980566471977795;50.95367847411444;MG;São Francisco;São Francisco - MG;0.5681818181818182;Moderado;57.15;58.24;-7.1694335280222035;Risco elevado de não atingir
5211909;1077;0.3798541947021761;0.3798541947021761;0.3798541947021761;0.0;0.23026926648096566;248;0.23026926648096566;52;3.0;0.757;0.656;987.04;0.55;7.93;24.82;0.7100248550124275;1.0;0.6901408450704225;82060126.38;2618821.01;84678947.39;69.15;69.92;76.97307335190344;62.01458052978239;0.0;GO;Jataí;Jataí - GO;0.30578512396694213;Baixo;69.15;69.92;-7.135419470217613;Risco elevado de não atingir
3202306;314;0.3127651013893292;0.3127651013893292;0.3127651013893292;0.0;0.17197452229299362;54;0.17197452229299362;32;3.0;0.703;0.595;587.91;0.52;28.33;37.81;1.0;1.0;0.5757575757575758;34031118.36;7088104.21;41119222.57;75.85;76.71000000000001;82.80254777070064;68.72348986106708;0.0;ES;Guaçuí;Guaçuí - ES;0.20041322314049587;Baixo;75.85;76.71000000000001;-7.126510138932915;Risco elevado de não atingir
3532827;106;0.5071509861467904;0.5071509861467904;0.5071509861467904;1.0;0.41509433962264153;0;0.0;35;3.0;0.651;0.577;330.03;0.47;39.62;37.18;1.0;1.0;0.4206349206349206;11419351.89;0.0;11419351.89;56.36;61.55;58.490566037735846;49.28490138532096;100.0;SP;Nova Campina;Nova Campina - SP;0.5847107438016529;Moderado;56.36;61.55;-7.075098614679042;Risco elevado de não atingir
4109609;566;0.3561536859357307;0.3561536859357307;0.3561536859357307;0.0;0.3003533568904594;170;0.3003533568904594;41;3.0;0.717;0.604;782.92;0.56;17.41;30.21;1.0;1.0;0.2239221140472879;41727865.77;820091.29;42547957.06;71.37;66.9;69.96466431095406;64.38463140642693;0.0;PR;Guaratuba;Guaratuba - PR;0.25413223140495866;Baixo;71.37;66.9;-6.985368593573071;Risco elevado de não atingir
4102000;410;0.2692672354746515;0.2692672354746515;0.2692672354746515;0.0;0.13414634146341464;55;0.13414634146341464;41;3.0;0.729;0.633;676.1;0.47;12.78;26.08;1.0;1.0;0.2488584474885844;28940816.15;542720.5;29483536.65;80.0;80.31;86.58536585365853;73.07327645253486;0.0;PR;Assis Chateaubriand;Assis Chateaubriand - PR;0.11363636363636363;Baixo;80.0;80.31;-6.926723547465144;Risco elevado de não atingir
1508209;550;0.6226579616897914;0.6226579616897914;0.6226579616897914;1.0;0.24181818181818182;0;0.0;15;3.0;0.617;0.516;323.12;0.5;43.67;43.13;0.1661129568106312;1.0;0.3787375415282392;29718736.81;34706486.9;64425223.71;44.6;37.71;75.81818181818181;37.734203831020864;100.0;PA;Vigia;Vigia - PA;0.8677685950413223;Alto;44.6;37.71;-6.865796168979138;Risco elevado de não atingir
2600609;202;0.5210347162471513;0.5210347162471513;0.5210347162471513;1.0;0.49504950495049505;0;0.0;26;3.0;0.599;0.472;275.5;0.49;57.52;58.52;0.723404255319149;1.0;0.5319148936170213;14288947.33;4281995.97;18570943.3;54.75;53.870000000000005;50.495049504950494;47.89652837528487;100.0;PE;Alagoinha;Alagoinha - PE;0.621900826446281;Moderado;54.75;53.870000000000005;-6.853471624715127;Risco elevado de não atingir
5007208;616;0.5402669697450672;0.5402669697450672;0.5402669697450672;1.0;0.3587662337662338;0;0.0;50;3.0;0.715;0.59;705.6;0.53;14.75;37.13;0.8521594684385382;1.0;0.7790697674418605;54386101.43;0.0;54386101.43;52.79;52.67;64.12337662337661;45.97330302549329;100.0;MS;Rio Brilhante;Rio Brilhante - MS;0.6735537190082644;Moderado;52.79;52.67;-6.816696974506712;Risco elevado de não atingir
