co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio
3136405;41;0.38698480512453215;0.38698480512453215;0.38698480512453215;0.0;0.34146341463414637;14;0.34146341463414637;31;3.0;0.637;0.489;433.58;0.53;39.44;57.86;1.0;1.0;1.0;4797083.46;0.0;4797083.46;61.4;71.38;65.85365853658536;61.301519487546784;0.0;MG;Joaquim Felício;Joaquim Felício - MG
3136801;34;0.39976097886680706;0.39976097886680706;0.39976097886680706;0.0;0.17647058823529413;6;0.17647058823529413;31;3.0;0.669;0.617;335.93;0.43;34.26;25.35;0.0;1.0;0.875;2826298.77;0.0;2826298.77;68.64;55.56;82.35294117647058;60.023902113319295;0.0;MG;Juramento;Juramento - MG
3136900;147;0.27087741621975403;0.27087741621975403;0.27087741621975403;0.0;0.1564625850340136;23;0.1564625850340136;31;3.0;0.723;0.553;1122.1;0.64;7.13;45.12;0.8091603053435115;1.0;1.0;8974930.12;222845.92;9197776.04;78.94;82.69;84.35374149659864;72.9122583780246;0.0;MG;Juruaia;Juruaia - MG
3136959;64;0.4099111288788081;0.4220260536944649;0.4220260536944649;0.0;0.34375;22;0.34375;31;3.0;0.592;0.501;223.32;0.53;61.03;38.98;0.918032786885246;0.9836065573770492;0.9344262295081968;4273196.53;0.0;4273196.53;;;65.625;59.00888711211919;0.0;MG;Juvenília;Juvenília - MG
3137403;144;0.2902295366063594;0.2902295366063594;0.2902295366063594;0.0;0.09027777777777778;13;0.09027777777777778;31;3.0;0.676;0.554;522.62;0.53;35.58;50.35;0.7005988023952096;1.0;0.8922155688622755;14027272.47;460152.7;14487425.17;69.09;87.23;90.97222222222221;70.97704633936405;0.0;MG;Lagoa Dourada;Lagoa Dourada - MG
3137502;220;0.3047592637737453;0.3047592637737453;0.3047592637737453;0.0;0.16818181818181818;37;0.16818181818181818;31;3.0;0.703;0.582;693.25;0.49;11.38;37.4;1.0;1.0;1.0;12594521.48;0.0;12594521.48;66.85;82.01;83.18181818181817;69.52407362262547;0.0;MG;Lagoa Formosa;Lagoa Formosa - MG
3138104;80;0.4648010472020081;0.4648010472020081;0.4648010472020081;0.0;0.2625;21;0.2625;31;3.0;0.629;0.511;364.3;0.45;36.69;43.85;0.8571428571428571;1.0;0.9523809523809524;4840781.98;0.0;4840781.98;80.0;48.0;73.75;53.51989527979919;0.0;MG;Lassance;Lassance - MG
3141207;48;0.20955220937737018;0.20955220937737018;0.20955220937737018;0.0;0.10416666666666667;5;0.10416666666666667;31;3.0;0.707;0.552;820.03;0.59;7.9;33.62;0.7906976744186046;1.0;1.0;3039309.87;0.0;3039309.87;80.0;91.94;89.58333333333334;79.04477906226298;0.0;MG;Matutina;Matutina - MG
3141702;43;0.3800367181433808;0.3800367181433808;0.3800367181433808;0.0;0.32558139534883723;14;0.32558139534883723;31;3.0;0.656;0.555;424.12;0.46;32.05;41.56;0.0;1.0;1.0;3376446.93;42112.28;3418559.21;61.93;63.47;67.44186046511628;61.99632818566192;0.0;MG;Mesquita;Mesquita - MG
3143302;4163;0.3732312433238996;0.3822116090617498;0.3822116090617498;0.0;0.2330050444391064;970;0.2330050444391064;31;3.0;0.77;0.744;650.62;0.53;21.75;17.81;0.8227848101265823;1.0;0.940506329113924;233694701.66;0.0;233694701.66;67.55;75.18;76.69949555608936;62.67687566761004;0.0;MG;Montes Claros;Montes Claros - MG
3143708;39;0.38043680428475035;0.38043680428475035;0.38043680428475035;0.0;0.28205128205128205;11;0.28205128205128205;31;3.0;0.597;0.422;382.62;0.48;40.45;43.71;0.0;1.0;1.0;919305.76;0.0;919305.76;65.33;61.85;71.7948717948718;61.956319571524965;0.0;MG;Morro do Pilar;Morro do Pilar - MG
3144102;183;0.3936401938340577;0.3936401938340577;0.3936401938340577;0.0;0.23497267759562843;43;0.23497267759562843;31;3.0;0.74;0.652;719.94;0.46;12.0;27.95;1.0;1.0;0.8811881188118812;12501369.56;202855.56;12704225.12;55.11;75.51;76.50273224043715;60.63598061659423;0.0;MG;Muzambinho;Muzambinho - MG
3144375;55;0.3877947729064807;0.3877947729064807;0.3877947729064807;0.0;0.2545454545454545;14;0.2545454545454545;31;3.0;0.671;0.557;431.11;0.4;19.45;33.48;0.0;1.0;1.0;3215738.83;48585.16;3264323.99;59.24;64.21000000000001;74.54545454545455;61.22052270935193;0.0;MG;Natalândia;Natalândia - MG
3144706;171;0.39681721112892077;0.39681721112892077;0.39681721112892077;0.0;0.21637426900584794;37;0.21637426900584794;31;3.0;0.709;0.639;532.58;0.47;22.11;25.9;0.7552083333333334;1.0;1.0;10487160.66;0.0;10487160.66;66.71;72.22;78.36257309941521;60.31827888710792;0.0;MG;Nova Era;Nova Era - MG
3145802;25;0.40259010444180715;0.3838821332916419;0.4264002495420175;0.0;0.16;4;0.16;31;2.0;0.663;0.559;446.23;0.44;30.34;54.07;1.0;1.0;0.9117647058823528;1315807.24;0.0;1315807.24;;;84.0;59.74098955581928;0.0;MG;Onça de Pitangui;Onça de Pitangui - MG
3145851;53;0.28615288320456667;0.28615288320456667;0.28615288320456667;0.0;0.3018867924528302;16;0.3018867924528302;31;3.0;0.637;0.5;395.74;0.39;27.35;46.94;1.0;1.0;1.0;5858327.12;0.0;5858327.12;75.73;82.24;69.81132075471699;71.38471167954333;0.0;MG;Oratórios;Oratórios - MG
3147402;247;0.43050694901887765;0.4330112303427196;0.4330112303427196;0.0;0.3360323886639676;83;0.3360323886639676;31;3.0;0.694;0.625;530.79;0.45;23.34;24.83;0.4435146443514644;1.0;1.0;17239748.5;0.0;17239748.5;58.98;71.27;66.39676113360325;56.949305098112234;0.0;MG;Paraopeba;Paraopeba - MG
3148004;1417;0.35502369546401824;0.3610663055755946;0.3610663055755946;0.0;0.2611150317572336;370;0.2611150317572336;31;2.0;0.765;0.698;843.57;0.5;9.58;20.63;0.8876325088339223;1.0;0.9109540636042402;64521180.62;1249266.62;65770447.24;72.56;76.9;73.88849682427664;64.49763045359818;0.0;MG;Patos de Minas;Patos de Minas - MG
3149606;48;0.30741869571727587;0.30741869571727587;0.30741869571727587;0.0;0.08333333333333333;4;0.08333333333333333;31;3.0;0.674;0.564;522.22;0.43;17.48;34.42;0.0;1.0;1.0;3218115.35;0.0;3218115.35;69.27;81.37;91.66666666666666;69.25813042827241;0.0;MG;Pequi;Pequi - MG
3149804;220;0.2849720002722298;0.2849720002722298;0.2849720002722298;0.0;0.1409090909090909;31;0.1409090909090909;31;3.0;0.723;0.571;861.29;0.55;9.31;33.78;1.0;1.0;1.0;15810405.91;0.0;15810405.91;71.73;83.41;85.9090909090909;71.50279997277703;0.0;MG;Perdizes;Perdizes - MG
3150109;20;0.3649805518672917;0.3649805518672917;0.3649805518672917;0.0;0.45;9;0.45;31;3.0;0.629;0.467;449.68;0.42;26.64;46.18;1.0;1.0;1.0;1535869.47;0.0;1535869.47;44.48;75.58;55.00000000000001;63.501944813270825;0.0;MG;Piau;Piau - MG
3150570;123;0.4415986960584598;0.4415986960584598;0.4415986960584598;0.0;0.3902439024390244;48;0.3902439024390244;31;3.0;0.594;0.469;260.14;0.54;56.86;47.58;0.2692307692307692;1.0;0.7307692307692307;5950291.31;965995.35;6916286.66;58.37;64.82000000000001;60.97560975609756;55.840130394154016;0.0;MG;Pintópolis;Pintópolis - MG
