regiao;cluster;municipios;percentual_na_regiao
Centro-Oeste;1;6;0.16666666666666666
Centro-Oeste;2;30;0.8333333333333334
Nordeste;1;176;0.8979591836734694
Nordeste;2;20;0.10204081632653061
Norte;1;46;0.8846153846153846
Norte;2;6;0.11538461538461539
Sudeste;1;15;0.12295081967213115
Sudeste;2;107;0.8770491803278688
Sul;1;4;0.05128205128205128
Sul;2;74;0.9487179487179487
