co_uf;registros;percentual_classe_0;recall_nao_alfabetizado;precision_nao_alfabetizado;f1_nao_alfabetizado;balanced_accuracy;pr_auc_risco
11;1660;0.20240963855421687;0.33035714285714285;0.2624113475177305;0.2924901185770751;0.5473537980146741;0.23609027400438676
12;157;0.2356687898089172;0.0;0.0;0.0;0.5;0.2356687898089172
13;5735;0.45736704446381865;0.9454822722073961;0.4738249904470768;0.6312842051673667;0.5302604163093536;0.5101774107202306
14;666;0.566066066066066;1.0;0.566066066066066;0.7229146692233941;0.5;0.6127313172978934
15;15925;0.4067817896389325;0.891015745600494;0.4222693686443778;0.5729885342730928;0.5275444981839668;0.4755434173009445
16;2017;0.3306891422905305;1.0;0.3306891422905305;0.4970193740685544;0.5;0.4303515874691518
17;5334;0.3922009748781402;0.9173040152963671;0.42148034263123213;0.5775771256583898;0.5524212858715025;0.4282696398732621
21;13812;0.30082536924413555;0.6892900120336943;0.38629619638521717;0.49511625896793154;0.6090645980226461;0.3829714080522779
22;3183;0.2177191328934967;0.2077922077922078;0.3582089552238806;0.26301369863013696;0.5520888749804412;0.29692864265230295
23;16860;0.09679715302491103;0.0;0.0;0.0;0.5;0.18331272453281228
24;7696;0.5310550935550935;0.9840959138732567;0.5352675006654245;0.6933885009912939;0.5082574332458553;0.5401505866097599
25;5908;0.3009478672985782;0.7452193475815523;0.323486328125;0.4511406196799455;0.5371375188270957;0.32787776454278583
26;13701;0.34340559083278593;0.7989373007438895;0.3851434426229508;0.5197372969236087;0.5659315227596726;0.4023376066075749
27;4883;0.34568912553757936;0.7748815165876777;0.3955246446930753;0.5237237237237238;0.5746082074331189;0.43293995732391644
28;2598;0.3625866050808314;0.7367303609341825;0.5121771217712177;0.6042664344797563;0.6687878857811009;0.5147095954499473
29;13902;0.44511581067472306;0.9445701357466063;0.45742682735952417;0.6163661288621745;0.5229073131416464;0.50871404781525
31;45915;0.26549058042034196;0.03691550451189499;0.35294117647058826;0.06683995544002971;0.5062264698245168;0.3045603243149189
32;2650;0.16867924528301886;0.0;0.0;0.0;0.5;0.2012083159765571
33;24376;0.4680423367246472;0.8583574371110527;0.5218758326671996;0.6491018757871014;0.5832236017204836;0.5583396058477366
35;40959;0.3847506042627994;0.7052477949108445;0.45123832724319934;0.5503478669934884;0.584449294280819;0.47076252614684383
41;16530;0.22891712038717482;0.0;0.0;0.0;0.5;0.2759538548256615
42;18680;0.35471092077087796;0.5437669785692726;0.4079483695652174;0.46616638633717167;0.5549845345808035;0.42677513447755927
43;13742;0.46550720419152963;0.9327809910895732;0.4869827797274137;0.6398927613941019;0.5384803525903958;0.5367394652794818
50;5942;0.27566475934028944;0.28876678876678874;0.3596958174904943;0.32035218421943784;0.5465674092532828;0.34241646604667464
51;10310;0.2254122211445199;0.0051635111876075735;0.3870967741935484;0.01019108280254777;0.5013921738257097;0.29261771071307835
52;5740;0.18763066202090592;0.0;0.0;0.0;0.5;0.28453873659955864
