feature;importancia_media;desvio_importancia
indicador_pc_aluno_alfabetizado_2024;0.10106193110752948;0.0016715029329497366
co_uf;0.01083217148586838;0.0007895950256227292
indicador_meta_final_2025;0.010513538089282636;0.0005069359689409791
fundeb_receita_contribuicao;0.006362070510450413;0.0010493821850133507
tp_dependencia;0.002959617344518939;0.0006346771134406819
atlas_indice_gini;0.0010323525573885605;0.0006011428072736786
atlas_taxa_criancas_dom_sem_fund;0.0007798593148173772;0.00041734322844876027
fundeb_complementacao_uniao;0.0007373944387190745;0.00033670644516543185
atlas_idhm;0.0006425157101776601;0.00024800741904472417
atlas_prop_pobreza_criancas;0.00021307986733770656;0.0008114632018028278
atlas_renda_pc;0.0001689979853929713;0.00012466573637996938
censo_prop_mat_2ano_alimentacao;-2.1513523950988934e-05;1.8393135550076258e-05
atlas_idhm_e;-3.569534103641248e-05;0.00017585702459143609
censo_prop_mat_2ano_biblioteca_sala_leitura;-9.5766704230138e-05;0.00034072904625703966
fundeb_receita_total;-0.00032097913414966814;0.0006194089221075917
censo_prop_mat_2ano_internet_aprendizagem;-0.0007123295754080328;0.0004768966009731289
