;estimativa_teste;media_bootstrap;ic_95_inferior;ic_95_superior
recall_nao_alfabetizado;0.6261822249298405;0.6285565460424095;0.531919601583561;0.7187362009106485
precision_nao_alfabetizado;0.4469274141237018;0.4478649029330971;0.4289652964416623;0.46762767943022865
f1_nao_alfabetizado;0.5215832425192789;0.5223308664689924;0.48151099987457463;0.5596951100740764
balanced_accuracy;0.6178981081177942;0.6179566678228309;0.6040220983643894;0.6338580492505111
pr_auc_risco;0.4709547971289282;0.4704165688705026;0.4404494163908627;0.4985403818095207
roc_auc_risco;0.6611296233144222;0.6611820036079366;0.6456497787326616;0.6793061886691637
