regiao;registros;percentual_classe_0;recall_nao_alfabetizado;precision_nao_alfabetizado;f1_nao_alfabetizado;balanced_accuracy;pr_auc_risco
Centro-Oeste;21992;0.2291287740996726;0.09624925580472316;0.3603268945022288;0.1519185591229444;0.5227308922803477;0.30859766421685086
Nordeste;82543;0.3133881734368753;0.7716483686407917;0.428108780508729;0.5506938505255607;0.6505793673817104;0.4597643657943557
Norte;31494;0.4003937257890392;0.8981760507533704;0.42639861456215644;0.5782701929949964;0.5456777309475388;0.48215631265090153
Sudeste;113900;0.34947322212467075;0.5365406355985429;0.4781061114842176;0.5056407221071323;0.6109520102211623;0.48157024536693765
Sul;48952;0.34333632946559894;0.5694056048075207;0.45387716386056437;0.5051198142088039;0.6055925208669739;0.46575251270771423
